,queries,chartType
369,Show me count of movie runtimes ,bar
700,"Production budget for each nominal, by nominal",bar
276,"Bar chart, x axis nominal, y axis count of rows",bar
500,Group by Cylinders | Plot Cylinders by AVG MPG,bar
701,"average nominal by nominal, 1995 to 2009",line
150,number of nominals by nominal,bar
1206,high nominal rate,none
522,What was the average nominal of movies by genre?,bar
1218,can you combine your maps,none
174,How much did average nominal vary by nominal?,bar
908,is there a,none
351,show me nominal averaged by nominals,bar
137,"average nominal over nominals, colored by nominal",line
5,Cylinders average nominal,bar
390,what is the nominal distribution per genre,bar
245,Give different scatter plots of nominal vs nominal for each nominal,heatmap
72,total nominal by order date in 2016-2017,line
532,"For each data element, draw a circle at (its nominal, nominal) with the proper color by the nominal",heatmap
445,count by nominal,bar
430,Plot Count(cars) vs Origin,bar
947,vulnerability map nominal,none
1023,where is it,none
762,show me a scatterplot of nominal margin vs nominal; color movies by their genre,heatmap
2,draw bars | show me nominal,bar
929,what's the what's the nominal rate for area type,map
677,Scatterplot of nominal vs. nominal,heatmap
1068,everleigh and,none
1060,high nominal areas,none
261,Visualize accelaration v/s nominal across distribution across different nominals,heatmap
535,The count of orders by sub-nominal | Bar chart | Descending order,bar
285,"Bar chart of total nominal by nominal, by nominal",bar
1265,open actually the whole thing,none
896,i mean get something about monroe and,none
1246,party city make a heat not start of nominal vs nominal,map
1078,good night,none
422,I want to know how many orders there are by the quantity of the order,bar
751,show me small multiple scatter plots of movie nominal vs gross worldwide where each multiple is a specific rating,line
686,"line chart of nominal vs. order date of furniture, office supplies, technology. Distnighish by color",line
831,but it doesn't help us at all,none
872,oh and see this,none
300,draw a bar chart of count by sub-nominal,bar
287,Bar chart of average nominal by nominal,bar
1130,already can you make a heat map for counties versus nominal,heatmap
1255,cuz i tried in the midwest by population by nominal rate,none
1277,but some correlations of,none
459,How much money did movies of each genre and rating make?,bar
218,Create Scatterplot | X-axis is Profit | Y-axis is Sales,heatmap
909,map of race,none
1133,how do you make a heat heat map chart of nominal,map
1002,how many cases,none
526,Display nominal by release date,line
1289,can you make a map between nominal and nominal,map
501,"Coloring by Orign, Plot Displacement by MPG",heatmap
658,"show me a bar chart of count by sub-nominal, sorted by count descending",bar
1195,can you make a heat map of nominal versus nominal,heatmap
586,show me the average nominal by nominal in a line chart,line
128,Create a multiple scatterplot that represents nominal and nominal for different nominals,heatmap
427,Show me how many products were ordered by sub-nominal,bar
731,Yearly average Production Budget,line
416,Show me nominals by number of nominal per product,heatmap
197,"Create a line chart showing order date and sum of nominal, divided by nominal",line
1249,auntie vicky heat make a sheet map of nominal,none
1183,so i got the song,none
1271,kayaks for sale,none
663,count of movies by binned nominal,bar
680,relation between nominal rating and IMDB rating,heatmap
683,wordwide gross versus nominal for each nominal,heatmap
183,How many nominal do cars manufactured in different countries have?,bar
9,show me average budget split by nominal colored by nominal,bar
463,What is the average nominal in each nominal,line
708,Show a scatterplot of nominal vs Weight | Facet it by Origin.,heatmap
228,Show me the nominal for each order date,line
520,"For each (nominal, nominal), plot the sum of the nominal into a stacked bar",bar
938,map of nominal,none
1324,chase's versus killer,none
240,Show the relationship between number of cars and nominal in each nominal,bar
703,show me a distribution of nominal grouped by car nominal,bar
400,Show distribution by counties,bar
153,bar chart of count of nominals by nominal,bar
933,social social coronavirus,none
1226,naked,none
117,Please show me the distribution of nominals by 500 interval.,bar
604,"Show me a histogram of nominal, rounded to 500",bar
987,dematic racism,none
888,to broaden,none
1199,can you make a sheet map chart of colored wrist forces nominal,map
655,average nominal by nominal,line
1363,can you make a bar graph of nominal filtered by very high nominal,map
969,i was just to question one first and go down for this,none
612,create a histogram of the count of nominals by nominal,bar
286,Count of movies by Creative Type,bar
542,The distribution of nominal and nominal by nominals | Colored scatter plot,heatmap
214,"What is the total nominal for each nominal, based on nominal?",bar
1242,how do you make a map of nominal versus nominal,map
557,Sum(Profit) and Sum(Sales) render cluster,heatmap
8,Line chart avg nominal per nominal Color by nominal,line
932,can i get map of people,map
1283,army time,none
793,How does nominal vary by nominal for cars from different nominals?,heatmap
7,give me line charts of nominal over nominal by nominals,line
410,Plot MPG vs Displacement colored by Origin,heatmap
162,"Plot the nominal v.s. nominal on a scatter plot, broken down by nominal.",heatmap
256,Bar graph to show number of cars from different Origins,bar
845,this could be anywhere in the whole states,none
935,the only colored vest in different nominal,none
615,What is the distribution of nominal across all cars?,bar
502,Plot Year by AVG Weight,line
385,What are the nominals across different nominals?,bar
1194,you make a sheet mask of a chart of nominal versus nominal,map
1027,ecstasy doctor in spanish in spanish,none
152,bar chart of number of nominals by nominal,bar
651,show me one bar chart of average nominal split by nominal for each nominal,bar
972,can you look up everything,none
474,Give me a scatter plot of budget vs gross broken down by movie but with genre as a legend,heatmap
393,Show nominal and MPG in a XY chart | Add nominal in legend,heatmap
74,average nominal by nominal,bar
21,give me scatterplots of nominal versus nominal by different nominals,heatmap
230,"Show me the nominal of furniture, office supplies, and technology over time",line
1299,i think we can ready answer,none
1164,change the color scheme to blue,none
895,has a lot of rural area,none
1315,stockton police cars,none
273,"Scatter plot, x axis Displacement, Y axis MPG, Color by Origin",heatmap
610,nominal vs nominal,heatmap
875,i like this one we should keep this,none
643,avg ww gross by genre,bar
741,"Count by Cylinders and Origin, Stacked",bar
242,Show a bar chart showing nominal distribution of cars,bar
229,Show me the count of each subnominal of product,bar
858,you already,none
645,"show me a scatter chart of nominal by nominal, split by nominal",heatmap
205,Create a line chart showing total nominal over time,line
140,average nominal over time,line
433,What is our nominal based on shipping mode by customer nominal?,bar
200,What is the relationship between nominal and nominal?,heatmap
934,nominal,none
59,"Clustered Column chart, Average of Profit by nominal, small multiples on nominal",bar
814,i don't think he's picking up,none
688,nominal distribution,bar
370,Plot nominal against nominal for the different rating categories of movies.,heatmap
516,Help me see outliers in IMDB and Rotten Tomatoes ratings,heatmap
1234,can you make a map of social vulnerability by nominal,map
1123,can we see a chart of population by county,map
1124,rt filter the map by nominal,map
36,Which countries have the highest nominal for cars of different nominal? ,bar
208,What is the relationship between nominal and nominal for each nominal?,heatmap
591,"Show nominal by COUNT(Model) in a bar chart', 'Add nominal to legend",bar
1019,the lower the cases,none
472,Give me a scatter chart of nominal vs nominal for each nominal,heatmap
805,How does nominal behave compared to nominal?,heatmap
626,Show me the cumulative nominal by order date,line
988,it's just me and my sister now,none
337,show me bar charts of average nominal by nominals grouped by nominal,bar
876,is the green one,none
178,What is the total nominal for each nominal across time?,line
323,show number of cars produced by each nominal,bar
1348,chris,none
877,none,none
653,average nominal with nominal as legend and trellised by nominal,bar
4,histogram of nominal,bar
1153,make a heat map chart of nominal versus nominal filter by salty's,map
603,"Show me count of nominals grouped by nominal, stacked by Origin",bar
1212,can you create a chart of covid vs allergies and nominal per county,map
434,average length of movies,bar
33,show me bars | show me nominal,bar
367,Which genre movie makes most nominal,bar
1128,are you can you make a map for all counties,map
1298,put spinach in action by nominal,none
576,IMDB rating by nominal rating,heatmap
1069,obey hi i love you and in nominal and i probably wait,none
105,Show how films' Rotten Tomato ratings compare with IMDB ratings.,heatmap
1136,can you make a chart of of nominal versus nominal,map
974,search for going to bed if you don't eat,none
1221,can you make a map of nominal versus nominal,map
1031,show a map of covid cases,map
238,What is the relation between nominal and nominal,heatmap
545,Split nominal by nominal and Sum(Profit) render Stacked barchart,bar
35,show me movies by nominals,bar
192,What's the mileage for cars based on the number of nominal present?,bar
165,Plot a histogram of movie nominal.,bar
884,guys in november but specific,none
710,Compare AVG (MPG) with Cylinders,bar
334,Movie run time distribution,bar
384,Density of nominal across nominals and their nominalability,heatmap
360,show the total number of nominal over time,line
353,"show number of orders for the sub categories as bar chart, and sort the bars by count, highest first",bar
570,"total number fo nominals based on number of nominal, with breakdown by nominal",bar
460,"What was the average budget for each nominal and nominal, as multiple column charts",bar
548,Show Avg(Profit) by nominal asc render best,bar
368,"show nominal vs nominal as scatter plot', 'use a different color for each nominal",heatmap
1352,i swear i was working earlier,none
533,Create histogram of nominal,bar
1191,stop disturbing i think the correlation is there playing doctors in high-risk on the population as well,none
705,where do the cars nominalate from?,bar
85,Avg(Poduction Budget) Grouped by Content Rating and sub-grouped by Creative Type,bar
371,Are IMDb rating and nominal rating related,heatmap
78,Average Worldwide Gross by Major Genre,bar
24,Acceleration by nominal scatterplot per nominal,heatmap
362,"What's the average nominal of the different rated movies, separated by nominal.",bar
1317,how do you say the same thing just makes it,none
740,Count by Weight Buckets,bar
739,Average Acceleration by Engine Cylinders and Origin,bar
339,Line chart average nominal over nominal,line
994,you try it,none
630,"Show me the total nominal over time for these categories: furniture, office supplies, and technology",line
510,scatter plot of nominal vs nominal for G rated movies | scatter plot of nominal vs nominal for PG rated movies | scatter plot of nominal vs nominal for PG-13 rated movies | scatter plot of nominal vs nominal for R rated movies,heatmap
389,Profitable Sales across nominals,heatmap
550,Count asc Sub-Category render best,bar
106,Show the number of films categorized by their nominals.,bar
129,"how does nominal relate to nominal for individual nominals, partitioned by nominal",heatmap
945,they're like 10 minutes,none
210,What is the relationship between nominal and nominal for each nominal?,heatmap
217,Create Bar Chart | X-axis is Order Quanitity | Y-Axis is COUNT,bar
1141,are the midwest,none
32,scatterplot budget and nominal colored by genre,heatmap
1170,it's a no value,none
293,"plot separately nominal by average nominal', 'color by nominal",bar
254,One scatter plot to show nominal on X Axis and MPG on Y Axis | Scatter points to be different for each change in value of field Origin,heatmap
982,vagina soreness doesn't look like,none
361,show the average nominal by nominal,bar
187,Show distribution of cars by nominal,bar
102,show me how nominal is related to nominal per nominal,heatmap
1036,thanks,none
1343,what can you do,none
1096,how are the nominals difference,none
798,Scatterplot of nominal by MPG colored by nominal,heatmap
518,Give me a histogram of nominal for movies,bar
695,nominal for each genre for each nominal 1995 to now,line
263,Visualize distribution of nominals by number of cyclinders grouped by nominal,bar
1163,rt select all of the nominals in this math,map
758,show me how total gross revenue of all movies changes over a nominal for each genre,line
511,"Stacked bar chart of total nominal for each genre, separated by rating",bar
836,play sister say,none
290,plot nominal by average nominal,line
706,How has AVG (Horsepower) evolved over time? | Segregate it by the car nominal.,line
352,Show a time series plot by nominal of the nominal sum of movies by genre.,line
193,Does higher cylinder count mean mean lower mileage?,bar
1152,i'm hungry,none
1150,what are you saying,none
1347,but i want to make the charger so that we can specifically,none
1269,for the meantime it doesn't seem like it would be useful for these questions at the very least,none
381,show me average Miles Per Gallaon by nominal in a bar chart,bar
1140,vacancy harry potter,none
999,thanks alyssa,none
176,Which nominal had the most movies?,bar
171,What is the relationship between nominal and average nominal?,line
1148,hamilton place mall,none
730,Total Count based on Running Time,bar
1233,can you make a map of nominal by cases,map
735,Average Production Budget by Creative Type filtered by Content Rating,bar
1213,can you make a fart sound of covid-19 and nominal for county,map
684,Stacked bar chart of Profit disaggregated by shipping time across different nominals,bar
709,Correlate Acceleration and Horsepower.,heatmap
180,What is the distribution of nominals for each movie?,bar
1085,map of african-americans and then you look at the map of nominal,none
138,"average nominal over time, colored by nominal",line
296,plot nominal histogram,bar
405,Plot wight across nominal for each nominal separately,heatmap
1280,cuz i know if we just look at these two maps right here,none
55,"Line chart, Sum of nominal by order date, on nominal",line
862,that wasn't what i asked for,none
345,plot IMDB rating against nominal rating,heatmap
662,"show me a bar chart of count by sub-nominal, highest first",bar
23,plot average worldwide growth over nominal,bar
342,show me average nominal over nominal,line
718,Scatterplot of nominal vs. nominal. Break into multiple scatterplots by nominal,heatmap
1173,already making map of southwest plus suburban plus high elderly population plus variable access the doctors,map
1182,histogram,none
913,the guys mole,none
775,Show a line chart  the semi-annual nominal,line
508,line chart of AVG nominal of each nominal,line
289,plot nominal by nominal | color by nominal,heatmap
1120,all right,none
498,Group by Origin | plot Year by AVG Horsepower,line
779,Scatterplot Sales by Profit,heatmap
523,"scatter(x=nominal,y=nominal) for nominal",heatmap
1325,i like this song,none
580,Show me the total nominal over time by nominal for the nominals,line
1335,miss a,none
764,show me a bar plot where the x axis is movie genre and the y axis is average worldwide revenue,bar
1174,stop speaking up and then she'll be ready,none
1356,but that's for everybody that's a lot of,none
569,"show average nominal by nominal of nominal, with separate charts for # of nominal",bar
1361,can you make a histogram of nominal and nominal,bar
1137,what is the price of mexican food,none
1155,already know jesse's not between nominal and nominal,none
625,Show me the total nominal by order date,line
1350,jamaica map by nominal,none
431,By nominal show our nominals based on the shipping status of the order,bar
704,correlate MPG and Displacement of cars | color the points by the car's nominal,heatmap
1121,party can you filter the histogram by county sites,bar
372,what is the nominal trend of the different product categories?,line
164,Plot the average nominal each nominal across all movies.,line
892,what has a higher density of population,none
811,How many cars have various numbers of nominal in each nominal?,bar
157,How do the company earn in each nominal?,bar
274,"Bar chart, x axis nominal, y axis mean MPG",bar
970,you're definitely,none
960,that doesn't help,none
478,Total gross by nominal and genre,line
859,i already how much show me access to doctor,map
797,Histogram of car nominal,bar
582,How much did nominals gross in total,bar
1311,very high correlation of servants also having high nominal rate,none
42,Show me a scatterplot of nominalability by nominal for each nominal. ,heatmap
1094,like this are here maybe not,none
251,Stacked bar chart to show number of nominal on X Axis and count of cars  segregated nominal wise on Y Axis ,bar
601,Show me MPG vs Displacement distinguished by Origin,heatmap
723,Relationship of Rotten Tomatoes rating to IMDB rating.,heatmap
97,Show me nominal over nominal,line
1,Relationship between nominalating and Rotten Tomatoes Rating,heatmap
607,nominal vs nominal in genres,line
469,Which nominals have the most movies?,bar
592,show nominal and avg(Weight) in a line chart,line
760,show me how gross revenue of genres changes over time,line
103,Show how nominals are associated with gross receipts by genre. ,bar
928,or,none
10,Movie gross and budge relationship based on genre,heatmap
45,Column Chart of AVG (Profit) vs alphabetical order State,bar
609,gross across genres regarding nominal,bar
1319,what did i do something wrong,none
401,Plot average nominal across time by countries,line
1267,what she wanted,none
808,"For each nominal, how does a car's MPG vary with nominal?",heatmap
517,Show me a boring bar chart of movie nominal and count,bar
428,Plot Count vs Origin,bar
1223,perfect,none
346,Histogram by nominal | Count of binned nominal,bar
225,create scatterplot | axes are nominal and nominal | separate by nominal // or // dual x axis nominal,heatmap
480,Gross by genre and nominal,line
513,"bar chart for each rating, showing avg nominal per nominal",bar
1176,thank you,none
583,Show me a scatterplot of movies by imdb rating and nominal rating,heatmap
331,How has nominal changed over time by nominal? ,line
871,stage,none
148,bar chart of average nominal by nominal,bar
1334,he's like i said go to the doctors,none
1232,is there something called messages,none
563,"Show me each car's nominal by nominal, and split out separate charts for each nominal",heatmap
233,Show me the nominal versus nominal,heatmap
22,Which cylinder cars have the highest fuel economy?,bar
450,nominal by nominal ,bar
995,how do you show us a map of nominal,none
554,Count Order Quantity asc order render best,bar
1211,nominal,none
524,"Groupby (sub-nominal)  | For each sub-nominal, count the number of elements (== count)",bar
910,what is,none
249,Bar graph to show number of nominal on X Axis and Average MPG on Y Axis,bar
467,Give me a scatter plot showing a comparison of ratings between imdb and nominal,heatmap
291,plot nominal by nominal,heatmap
315,how nominal varies for different cylinder type,bar
822,thank you,none
936,yeah,none
855,call right now,none
1058,i'm saying like they they can't afford to be sick so should we would direct resources to them,none
437,Draw the axes for the average of Weight vs Year,line
898,are you taking it,none
926,i think you have to ask ask the right question,none
387,Distribution of product sub categories by ordered quantity,bar
222,Create scatterplot | Axes are nominal and nominal | color by nominal,heatmap
53,Stacked columns of Sum (nominal) nominaled by Ship Status vs Region,bar
1297,very high nominal index,none
449,nominal by nominal ,heatmap
944,i'll thank you,none
901,choose not to talk now i guess,none
1310,he really loves giving this afternoon,none
906,an ass like what's the population ratio of air type in nominal,none
1017,i heard the nominal,none
622,create a histogram of nominal count by nominal,bar
43,Show me total nominal by month for the two-nominal period between Jan 2016 and Dec 2017.,line
118,Please show me a histogram of nominals with 500 intervals.,bar
749,line chart sum of nominal by order date categorized by nominal,line
221,Create line graph | Axes are Order Date and SUM(Sales Forecast),line
865,find chart of quantitative versus temporal,line
1053,who are you referring to,none
1235,no i wanted to,none
1178,like this specifically filter,none
918,eskimos know that data,none
767,Can you create a graph showing nominal and nominal by nominal?,heatmap
1013,airline charter party,none
864,okay,none
441,Profit vs. Sales Cluster,heatmap
555,Sum(Sales Forecast) by Order Date asc render line,line
727,Worldwide Gross relationship to Production Budget separated by Content Rating,heatmap
34,Plot IMDB rating against Rotten Tomatoes rating.,heatmap
1250,parisian,none
154,vertical bar chart of count of nominals by nominal,bar
252,Line chart to show average nominal of cars based on the nominal in which they were produced,line
394,budget over time,line
917,the part the poorest part,none
597,Show me Average MPG per Cylinders,bar
112,Show how nominal is related to nominals for each nominal.,heatmap
588,show me the count of movies by nominal buckets,bar
295,plot cylinder histogram | stack by nominal,bar
326,show cars produced by diiferent nominal in various nominal,bar
1117,tell me what are you can help you make me feel like dancing,none
504,"Group by Origin | Faceting on Cylinder, plot Cylinder by AVG Acceleration",bar
916,send a text,none
608,counts of movies by nominal,bar
44,Line Graph of SUM (Sales Forecast) vs Order Date,line
340,Show a count of movies by nominal.,bar
207,Create a bar chart showing order quantity vs. count,bar
378,should me nominal compared to nominal in a scatter chart,heatmap
962,that makes sense of the end so she wanted the same,none
1161,nominal,none
68,plot nominal amount by nominal amount and nominal,heatmap
1365,cuz anybody nice if we can get it can you make a chart of nominal versus covid virus,map
618,create a bar chart showing the average MPG grouped by nominal,bar
1000,number of cases per nominal,none
1039,that expose themselves because they have more,none
224,create stacked bar chart | axes are nominal and SUM(Profit) | color by nominal,bar
363,show the nominal vs nominal as scatter plots | use one plot for each nominal,heatmap
1101,aerotek,none
527,The average nominal of orders by each nominal | Bar chart,bar
306,"make a bar chart of avgerage nominal by nominal, with nominal on x axis.",bar
979,what's the weather this sound think this is,none
487,Count movies by length in 20 minute buckets,bar
79,histogram of Running Time,bar
594,Show nominal in a histogram ,bar
1257,manicures,none
206,How many orders were placed for each order quantity?,bar
971,directing resources in general,none
141,line chart of average nominal over nominal,line
489,What is the nominal vs nominal ratio of the four nominals,heatmap
564,Histogram of number of cars by nominal,bar
850,nominal we can't directly sources mostly southwest,none
1366,okay,none
903,still see a correlation between anything,none
1179,an nominal,none
951,what is the nominal of alaska,map
317,how nominal varies with number of nominal by nominal,bar
748,line chart sum of nominal by order date,line
1231,as for the middle east or the middle of the midwest,none
712,Scatterplot of nominal vs nominal,heatmap
899,line chart of nominal in nominals,line
1285,making sheet map chart of nominal and nominal,none
1288,make a note between nominal and nominal,none
1052,very low on the first this area they have doctor likely to take risk,none
93,Make vertical bar charts of the average of the Production Budget categorized by Creative Type and parameterized by Content Rating across the page. | Put an alphabetized legend for Creative type on the right side of the page. Do not use an x-axis or nominal axis but use the same axis for each chart. Use only major average of Production Budget gridlines.,bar
28,"Show the total nominal by nominal of film, broken down by movie rating.",bar
1144,see if it makes sense that i really slow in the midwest,none
804,How does nominal change with nominal?,heatmap
743,Acceleration distribution by Weight and Origin,heatmap
307,"make a scatterplot of nominal vs nominal, with nominal on x-axis",heatmap
319,how nominal varies each nominal,line
659,"show me a bar chart of count by sub-nominal, descending sort by count",bar
1051,clippy,none
1353,that's a lot of scrolling,none
1063,i'm going to write my answer,none
235,bar chart for nominal v/s nominal,bar
38,show me bars | show me nominal | show me average of nominal,bar
541,Create stacked column graph of nominal by nominal by nominal,bar
499,"Faceting on Origin, plot Weight by Acceleration",heatmap
114,count the number of cars based on their nominals.,bar
754,show me average nominal of each nominal across nominals.,bar
1008,the lower the volume ability the higher the cases,none
1326,they all started in november and december,none
997,tell us a story still,none
1340,can you remove non-contiguous from this chart,none
244,For each nominal show the relationship between average nominal and number of nominal,bar
813,How has the average nominal of cars changed over the nominals?,line
1109,already make a map of the united states,map
733,Total Worldwide Gross by Major Genre with Content Rating labels,bar
338,Average nominal over nominal,line
314,show nominal for each cylinder type,bar
95,Make a simple scatter plot of worldwide Gross by Production Budget categorized by Major Genre.,heatmap
468,Count movies by nominal,bar
1112,covid-19,none
436,Show me our forecasted number of nominal between Jan 2016 and December 2017,line
664,"""what's the distribution of nominals by movie",bar
902,let me hear this rap music,none
894,the quantitative are actually like in the mid-range throughout the whole pandemic,none
693,Bar chart scale -10000-50000 average nominal vs. nominal all orders,bar
50,Multi-line Graph of Sum (Sales) by Category vs Order Date ,line
17,Are there any American 5 cylinder cars?,bar
531,Chart scatter plot of nominal by nominal broken down by nominal,heatmap
827,then you can try some playing them lake,none
816,so we should make a map of all the nominal with nominal people at the moment,map
188,Histogram of cars by nominal,bar
357,show nominal and nominal as a scatter plot,heatmap
584,Show me the total nominal for all nominals in a stacked bar chart and color it out by nominal,bar
571,"Show average nominal over time, separated by nominal of nominal",line
1241,why is this blank,none
453,What is the total nominal earned by each nominal and nominal?,bar
515,Plot IMBD vs Rotten Tomatoes ratings for all movies,heatmap
1202,can you make a chart of covid,map
30,Acceleration by nominal scatterplot,heatmap
1026,there is good news somewhere,none
1015,artificial is a chart of nominal and cases,none
1261,for the meantime i think it's heights,none
806,How many cars are from each nominal?,bar
41,Show me a bar chart showing the average nominalability for orders by shipping mode and nominal.,bar
507,bar chart of number of movies in each creative nominal,bar
1309,make a histogram of nominal filtered by urban,bar
568,"chart each nominal MPG by nominal, and idetnify coutnry of nominal",heatmap
455,Give me a stacked column chart of nominal by genre and rating,bar
