Sentence #,Word,POS,NER_Tag,RefExp_Tag
,,PUNCT,O,O
,and,CCONJ,O,O
,you,PRON,O,O
,can,VERB,O,O
,tell,VERB,O,O
,us,PRON,O,O
,what,DET,O,O
,dumb,PROPN,B-crime,O
,criminal,PROPN,I-crime,O
,are,AUX,O,O
,in,ADP,O,O
,the,DET,O,O
,world,NOUN,O,O
,?,PUNCT,O,O
Sentence: 5048,for,ADP,O,O
,almost,ADV,O,O
,west,PROPN,O,O
,side,NOUN,O,O
,,PUNCT,O,O
,it,PRON,O,O
,was,AUX,O,O
,mainly,ADV,O,O
,abortion,NOUN,B-crime,O
,of,ADP,O,O
,a,DET,O,O
,breach,NOUN,B-crime,O
,of,NOUN,I-crime,O
,the,NOUN,I-crime,O
,peace,NOUN,I-crime,O
,of,ADP,O,O
,a,DET,O,O
,stalking,NOUN,B-crime,O
,theft,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 5049,the,DET,O,O
,robbery,NOUN,B-crime,O
,in,ADP,O,O
,the,DET,O,O
,University,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,Illinois,NOUN,I-neighborhood,O
,at,NOUN,I-neighborhood,O
,Chicago,NOUN,I-neighborhood,O
,can,VERB,O,O
,be,AUX,O,O
,able,ADJ,O,O
,to,PART,O,O
,show,VERB,O,O
,it,PRON,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,?,PUNCT,O,O
Sentence: 5050,not,PART,O,O
,that,ADV,O,O
,different,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5051,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 5052,can,VERB,O,O
,you,PRON,O,O
,do,AUX,O,O
,the,DET,O,O
,same,ADJ,O,O
,thing,NOUN,O,O
,in,ADP,O,O
,the,PROPN,B-unk,O
,Loop,PROPN,I-unk,O
,of,ADP,O,O
,a,DET,O,O
,infraction,NOUN,B-crime,O
,?,PUNCT,O,O
Sentence: 5053,that,DET,O,O
,is,AUX,O,O
,right,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5054,so,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,falling,VERB,O,O
,?,PUNCT,O,O
Sentence: 5055,there,PRON,O,O
,seems,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,a,DET,O,O
,slightly,ADV,O,O
,mild,ADJ,O,O
,february,PROPN,B-month,O
,in,ADP,O,O
,february,PROPN,B-month,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
,does,AUX,O,O
,not,PART,O,O
,seem,VERB,O,O
,quite,ADV,O,O
,different,ADJ,O,O
,from,ADP,O,O
,spring,NOUN,B-season,O
,to,ADP,O,O
,some,DET,O,O
,spring,NOUN,B-season,O
,and,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,falling,VERB,O,O
,from,ADP,O,O
,2010,NUM,B-year,O
,to,ADP,O,O
,2015,NUM,O,O
,.,PUNCT,O,O
Sentence: 5056,so,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,little,ADJ,O,O
,higher,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,warmer,ADJ,O,O
,weather,NOUN,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,not,PART,O,O
,that,ADV,O,O
,much,ADJ,O,O
,,PUNCT,O,O
,and,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,shrink,NOUN,O,O
,ahead,ADV,O,O
,of,ADP,O,O
,time,NOUN,B-time,O
,.,PUNCT,O,O
Sentence: 5057,can,VERB,O,O
,you,PRON,O,O
,do,AUX,O,O
,the,DET,O,O
,same,ADJ,O,O
,thing,NOUN,O,O
,what,PRON,O,O
,you,PRON,O,O
,did,AUX,O,O
,from,ADP,O,O
,all,DET,O,O
,2,NUM,O,O
,Loop,PROPN,B-neighborhood,O
,and,CCONJ,O,O
,UIC,PROPN,B-neighborhood,O
,?,PUNCT,O,O
Sentence: 5058,and,CCONJ,O,O
,i,PRON,O,O
,will,VERB,O,O
,do,AUX,O,O
,it,PRON,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,wondered,VERB,O,O
,where,ADV,O,O
,the,DET,O,O
,topographic,NUM,B-location,O
,point,NUM,I-location,O
,of,ADP,O,O
,the,DET,O,O
,stolen,VERB,O,O
,weapons,NOUN,B-crime,O
,violation,NOUN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,west,NOUN,B-unk,O
,side,NOUN,I-unk,O
,?,PUNCT,O,O
Sentence: 5059,existant,ADJ,O,O
,is,AUX,O,O
,nearly,ADV,O,O
,existant,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5060,can,VERB,O,O
,you,PRON,O,O
,show,VERB,O,O
,me,PRON,O,O
,the,DET,O,O
,criminal,NOUN,B-crime,O
,abortion,NOUN,I-crime,O
,and,CCONJ,O,O
,robbery,NOUN,B-crime,O
,in,ADP,O,O
,four,NUM,O,O
,open,NUM,B-neighborhood,O
,neighborhood,NUM,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5061,so,ADV,O,O
,public,X,B-location,O
,service,X,I-location,O
,vehicle,X,I-location,O
,is,AUX,O,O
,the,DET,O,O
,most,ADV,O,O
,important,ADJ,O,O
,four,NUM,O,O
,neighbors,NOUN,O,O
,then,ADV,O,O
,to,PART,O,O
,go,VERB,O,O
,somewhere,ADV,O,O
,to,PART,O,O
,store,VERB,O,O
,cta,ADJ,B-location,O
,garage,ADJ,I-location,O
,school,NOUN,B-location,O
,.,PUNCT,O,O
Sentence: 5062,can,VERB,O,O
,you,PRON,O,O
,take,VERB,O,O
,the,DET,O,O
,time,NOUN,B-time,O
,of,ADP,O,O
,robbery,NOUN,B-crime,O
,,PUNCT,O,O
,resisting,VERB,B-unk,O
,arrest,VERB,I-unk,O
,in,ADP,O,O
,all,DET,O,O
,four,NUM,O,O
,neighborhoods,NOUN,B-neighborhood,O
,when,ADV,O,O
,it,PRON,O,O
,comes,VERB,O,O
,to,ADP,O,O
,?,PUNCT,O,O
Sentence: 5063,can,VERB,O,O
,you,PRON,O,O
,show,VERB,O,O
,where,ADV,O,O
,the,DET,O,O
,hoodlum,NOUN,B-crime,O
,is,AUX,O,O
,over,ADV,O,O
,between,ADP,O,O
,6,NUM,B-interval,O
,pm,NUM,I-interval,O
,and,NUM,I-interval,O
,midnight,NUM,I-interval,O
,00,NUM,O,O
,11,NUM,B-time,O
,pm,NUM,I-time,O
,?,PUNCT,O,O
Sentence: 5064,can,VERB,O,O
,you,PRON,O,O
,show,VERB,O,O
,this,DET,O,O
,punishable,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,after,ADP,O,O
,the,DET,O,O
,convicted,NOUN,B-crime,O
,felon,NOUN,I-crime,O
,that,DET,O,O
,occur,VERB,O,O
,between,ADP,O,O
,12,NUM,B-time,O
,am,NUM,I-time,O
,of,ADP,O,O
,12,NUM,B-interval,O
,and,NUM,I-interval,O
,6,NUM,I-interval,O
,pm,NUM,I-interval,O
,?,PUNCT,O,O
Sentence: 5065,we,PRON,O,O
,can,VERB,O,O
,not,PART,O,O
,get,AUX,O,O
,data,NOUN,O,O
,from,ADP,O,O
,the,DET,O,O
,data,NOUN,O,O
,.,PUNCT,O,O
Sentence: 5066,are,AUX,O,O
,you,PRON,O,O
,sure,ADJ,O,O
,the,DET,O,O
,public,PROPN,B-crime,O
,indecency,PROPN,I-crime,O
,did,AUX,O,O
,not,PART,O,O
,find,VERB,O,O
,a,DET,O,O
,criminal,NOUN,B-crime,O
,abortion,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 5067,the,DET,O,O
,man,NOUN,O,O
,who,PRON,O,O
,is,AUX,O,O
,the,DET,O,O
,criminal,X,B-crime,O
,offense,X,I-crime,O
,?,PUNCT,O,O
Sentence: 5068,can,VERB,O,O
,you,PRON,O,O
,get,AUX,O,O
,them,PRON,O,O
,between,ADP,O,O
,12,NUM,B-time,O
,3,NUM,I-time,O
,am,NUM,I-time,O
,and,CCONJ,O,O
,sixth,ADJ,O,O
,twelve,NUM,O,O
,miles,NOUN,O,O
,?,PUNCT,O,O
Sentence: 5069,is,AUX,O,O
,this,DET,O,O
,the,DET,O,O
,alley,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 5070,so,ADV,O,O
,3,NUM,B-time,O
,am,NUM,I-time,O
,12,NUM,B-time,O
,3,NUM,I-time,O
,am,NUM,I-time,O
,for,ADP,O,O
,all,DET,O,O
,cta,PROPN,B-location,O
,train,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 5071,bus,PROPN,B-location,O
,station,PROPN,I-location,O
,elevator,NOUN,B-location,O
,for,ADP,O,O
,the,DET,O,O
,railway,PROPN,B-location,O
,platform,PROPN,I-location,O
,and,CCONJ,O,O
,other,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5072,like,INTJ,O,O
,individually,ADV,O,O
,for,ADP,O,O
,vacant,NOUN,B-location,O
,land,NOUN,I-location,O
,shops,NOUN,I-location,O
,and,CCONJ,O,O
,garage,NOUN,B-location,O
,are,AUX,O,O
,you,PRON,O,O
,able,ADJ,O,O
,to,PART,O,O
,demonstrate,VERB,O,O
,where,ADV,O,O
,they,PRON,O,O
,consider,VERB,O,O
,where,ADV,O,O
,they,PRON,O,O
,bought,VERB,O,O
,and,CCONJ,O,O
,what,PRON,O,O
,cta,PROPN,B-location,O
,station,PROPN,I-location,O
,?,PUNCT,O,O
Sentence: 5073,deceptive,NUM,B-crime,O
,practice,NUM,I-crime,O
,and,CCONJ,O,O
,breach,NOUN,B-crime,O
,of,NOUN,I-crime,O
,the,NOUN,I-crime,O
,peace,NOUN,I-crime,O
,all,DET,O,O
,rails,NOUN,O,O
,hallway,NOUN,B-location,O
,on,ADP,O,O
,canal,NOUN,B-unk,O
,road,NOUN,I-unk,O
,.,PUNCT,O,O
Sentence: 5074,for,ADP,O,O
,12,NUM,O,O
,00,NUM,O,O
,to,ADP,O,O
,6,NUM,O,O
,for,ADP,O,O
,all,DET,O,O
,breaking,NOUN,B-crime,O
,law,NOUN,I-crime,O
,...,PUNCT,O,O
,to,ADP,O,O
,six,NUM,O,O
,p.m.,NOUN,O,O
,to,ADP,O,O
,6,NUM,O,O
,for,ADP,O,O
,all,DET,O,O
,criminally,ADV,B-crime,O
,for,ADP,O,O
,all,DET,O,O
,major,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,for,ADP,O,O
,each,DET,O,O
,crimes,NOUN,B-crime,O
,,PUNCT,O,O
,like,SCONJ,O,O
,three,NUM,O,O
,for,ADP,O,O
,five,NUM,O,O
,places,NOUN,B-location,O
,are,AUX,O,O
,so,ADV,O,O
,...,PUNCT,O,O
,you,PRON,O,O
,can,VERB,O,O
,do,AUX,O,O
,it,PRON,O,O
,by,ADP,O,O
,the,DET,O,O
,end,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,two,NUM,B-unk,O
,five,NUM,I-unk,O
,places,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 5075,i,PRON,O,O
,mean,VERB,O,O
,,PUNCT,O,O
,by,ADP,O,O
,4,NUM,B-time,O
,am,NUM,I-time,O
,right,ADV,O,O
,.,PUNCT,O,O
Sentence: 5076,no,INTJ,O,O
,,PUNCT,O,O
,that,ADV,O,O
,is,AUX,O,O
,UIC,PROPN,B-neighborhood,O
,.,PUNCT,O,O
Sentence: 5077,is,AUX,O,O
,it,PRON,O,O
,for,ADP,O,O
,day,NOUN,B-day,O
,or,CCONJ,O,O
,Lincoln,NOUN,B-neighborhood,O
,Park,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5078,do,AUX,O,O
,we,PRON,O,O
,have,AUX,O,O
,all,DET,O,O
,the,DET,O,O
,neighboring,NOUN,B-neighborhood,O
,for,ADP,O,O
,a,DET,O,O
,University,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,Illinois,NOUN,I-neighborhood,O
,at,NOUN,I-neighborhood,O
,Chicago,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5079,it,PRON,O,O
,looks,VERB,O,O
,like,SCONJ,O,O
,a,DET,O,O
,similar,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5080,so,ADV,O,O
,this,DET,O,O
,chart,NOUN,O,O
,you,PRON,O,O
,made,VERB,O,O
,on,ADP,O,O
,my,DET,O,O
,left,ADJ,O,O
,five,NUM,O,O
,waterfront,NOUN,B-location,O
,can,VERB,O,O
,you,PRON,O,O
,make,VERB,O,O
,it,PRON,O,O
,on,ADP,O,O
,the,DET,O,O
,jail,NOUN,B-location,O
,and,CCONJ,O,O
,department,NOUN,B-location,O
,store,NOUN,I-location,O
,city,NOUN,I-location,O
,and,CCONJ,O,O
,sidewalk,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 5081,february,PROPN,B-month,O
,is,AUX,O,O
,cold,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5082,it,PRON,O,O
,looks,VERB,O,O
,like,SCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,more,ADJ,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,we,PRON,O,O
,suffer,VERB,O,O
,in,ADP,O,O
,january,PROPN,B-month,O
,february,PROPN,I-month,O
,in,ADP,O,O
,january,PROPN,B-month,O
,february,PROPN,I-month,O
,,PUNCT,O,O
,and,CCONJ,O,O
,a,DET,O,O
,little,ADJ,O,O
,higher,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,winter,NOUN,B-season,O
,and,CCONJ,O,O
,the,DET,O,O
,highest,ADJ,O,O
,in,ADP,O,O
,spring,NOUN,B-season,O
,.,PUNCT,O,O
Sentence: 5083,can,VERB,O,O
,you,PRON,O,O
,do,AUX,O,O
,the,DET,O,O
,same,ADJ,O,O
,thing,NOUN,O,O
,for,ADP,O,O
,six,NUM,O,O
,3,NUM,B-time,O
,pm,NUM,I-time,O
,to,PART,O,O
,1,NUM,B-time,O
,am,NUM,I-time,O
,please,INTJ,O,O
,?,PUNCT,O,O
Sentence: 5084,10,NUM,B-time,O
,am,NUM,I-time,O
,6,NUM,O,O
,.,PUNCT,O,O
Sentence: 5085,so,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,little,ADJ,O,O
,farther,ADV,O,O
,ahead,ADV,O,O
,of,ADP,O,O
,the,DET,O,O
,trend,NOUN,O,O
,,PUNCT,O,O
,except,SCONJ,O,O
,for,ADP,O,O
,october,PROPN,B-month,O
,is,AUX,O,O
,a,DET,O,O
,little,ADJ,O,O
,higher,ADJ,O,O
,than,SCONJ,O,O
,12,NUM,B-time,O
,9,NUM,I-time,O
,am,NUM,I-time,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,highest,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,winter,NOUN,B-season,O
,.,PUNCT,O,O
Sentence: 5086,let,VERB,O,O
,me,PRON,O,O
,think,VERB,O,O
,it,PRON,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 5087,the,DET,O,O
,can,VERB,O,O
,you,PRON,O,O
,go,VERB,O,O
,back,ADV,O,O
,to,ADP,O,O
,the,DET,O,O
,chart,NOUN,O,O
,can,VERB,O,O
,report,VERB,O,O
,many,ADJ,O,O
,lawbreaking,NOUN,B-crime,O
,from,ADP,O,O
,12,NUM,O,O
,to,PART,O,O
,six,NUM,O,O
,month,NOUN,B-month,O
,.,PUNCT,O,O
Sentence: 5088,can,VERB,O,O
,you,PRON,O,O
,describe,VERB,O,O
,the,DET,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5089,or,CCONJ,O,O
,do,AUX,O,O
,we,PRON,O,O
,have,AUX,O,O
,that,DET,O,O
,chart,NOUN,O,O
,?,PUNCT,O,O
Sentence: 5090,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,i,PRON,O,O
,did,AUX,O,O
,not,PART,O,O
,realise,VERB,O,O
,the,DET,O,O
,scales,NOUN,O,O
,are,AUX,O,O
,different,ADJ,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,from,ADP,O,O
,6,PROPN,B-interval,O
,pm,PROPN,I-interval,O
,and,PROPN,I-interval,O
,midnight,PROPN,I-interval,O
,,PUNCT,O,O
,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,breaking,NOUN,B-crime,O
,law,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 5091,the,DET,O,O
,country,NOUN,O,O
,in,ADP,O,O
,the,DET,O,O
,north,NOUN,O,O
,.,PUNCT,O,O
Sentence: 5092,so,ADV,O,O
,you,PRON,O,O
,had,AUX,O,O
,to,PART,O,O
,cut,VERB,O,O
,it,PRON,O,O
,out,SCONJ,O,O
,of,ADP,O,O
,noon,PROPN,B-interval,O
,and,PROPN,I-interval,O
,6,PROPN,I-interval,O
,pm,PROPN,I-interval,O
,:,PUNCT,O,O
,00,NUM,O,O
,to,ADP,O,O
,12,NUM,O,O
,8,NUM,B-time,O
,am,NUM,I-time,O
,?,PUNCT,O,O
Sentence: 5093,it,PRON,O,O
,is,AUX,O,O
,like,SCONJ,O,O
,it,PRON,O,O
,.,PUNCT,O,O
Sentence: 5094,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,.,PUNCT,O,O
,so,ADV,O,O
,3,NUM,B-time,O
,am,NUM,I-time,O
,12,NUM,B-time,O
,4,NUM,I-time,O
,pm,NUM,I-time,O
,,PUNCT,O,O
,so,CCONJ,O,O
,we,PRON,O,O
,are,AUX,O,O
,at,ADP,O,O
,night,NOUN,B-unk,O
,night,NOUN,I-unk,O
,and,CCONJ,O,O
,night,NOUN,B-unk,O
,night,NOUN,I-unk,O
,at,ADP,O,O
,night,NOUN,B-unk,O
,night,NOUN,I-unk,O
,is,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5095,i,PRON,O,O
,should,VERB,O,O
,have,AUX,O,O
,done,VERB,O,O
,something,PRON,O,O
,?,PUNCT,O,O
Sentence: 5096,is,AUX,O,O
,there,PRON,O,O
,any,DET,O,O
,way,NOUN,O,O
,to,PART,O,O
,reduce,VERB,O,O
,the,DET,O,O
,certain,ADJ,O,O
,legal,PROPN,B-crime,O
,offence,PROPN,I-crime,O
,or,CCONJ,O,O
,just,ADV,O,O
,look,VERB,O,O
,at,ADP,O,O
,general,PROPN,B-crime,O
,breaking,PROPN,I-crime,O
,the,PROPN,I-crime,O
,law,PROPN,I-crime,O
,?,PUNCT,O,O
Sentence: 5097,well,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,was,AUX,O,O
,looking,VERB,O,O
,for,ADP,O,O
,interference,PROPN,B-crime,O
,with,PROPN,I-crime,O
,public,PROPN,I-crime,O
,officer,PROPN,I-crime,O
,and,CCONJ,O,O
,criminal,NOUN,B-crime,O
,battery,NOUN,I-crime,O
,for,ADP,O,O
,the,DET,O,O
,world,NOUN,O,O
,.,PUNCT,O,O
Sentence: 5098,but,CCONJ,O,O
,do,AUX,O,O
,you,PRON,O,O
,happen,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,if,SCONJ,O,O
,weapons,NOUN,B-crime,O
,violation,NOUN,I-crime,O
,is,AUX,O,O
,always,ADV,O,O
,currency,X,B-location,O
,exchange,X,I-location,O
,like,INTJ,O,O
,wallets,NOUN,O,O
,or,CCONJ,O,O
,you,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,have,AUX,O,O
,that,DET,O,O
,data,NOUN,O,O
,?,PUNCT,O,O
Sentence: 5099,okay,INTJ,O,O
,,PUNCT,O,O
,since,SCONJ,O,O
,the,DET,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,has,AUX,O,O
,the,DET,O,O
,biggest,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,if,SCONJ,O,O
,you,PRON,O,O
,show,VERB,O,O
,me,PRON,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,in,ADP,O,O
,the,DET,O,O
,Near,NOUN,B-neighborhood,O
,West,NOUN,I-neighborhood,O
,Side,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 5100,in,ADP,O,O
,2010,NUM,B-year,O
,,PUNCT,O,O
,in,ADP,O,O
,2010,NUM,B-year,O
,,PUNCT,O,O
,it,PRON,O,O
,was,AUX,O,O
,really,ADV,O,O
,in,ADP,O,O
,2014,NUM,B-year,O
,.,PUNCT,O,O
Sentence: 5101,you,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,have,AUX,O,O
,to,PART,O,O
,?,PUNCT,O,O
Sentence: 5102,so,ADV,O,O
,just,ADV,O,O
,looking,VERB,O,O
,at,ADP,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,are,AUX,O,O
,you,PRON,O,O
,able,ADJ,O,O
,to,PART,O,O
,show,VERB,O,O
,me,PRON,O,O
,the,DET,O,O
,offence,NOUN,B-crime,O
,in,ADP,O,O
,2010,NUM,B-year,O
,as,SCONJ,O,O
,several,ADJ,O,O
,lawbreaking,NOUN,B-crime,O
,in,ADP,O,O
,2010,NUM,B-year,O
,.,PUNCT,O,O
Sentence: 5103,this,DET,O,O
,is,AUX,O,O
,the,DET,O,O
,only,ADJ,O,O
,area,NOUN,O,O
,for,ADP,O,O
,all,DET,O,O
,the,DET,O,O
,neighborhood,NOUN,B-neighborhood,O
,.,PUNCT,O,O
Sentence: 5104,so,SCONJ,O,O
,sex,PROPN,B-crime,O
,offense,PROPN,I-crime,O
,has,AUX,O,O
,lost,VERB,O,O
,the,DET,O,O
,offense,NOUN,B-crime,O
,involving,VERB,O,O
,children,NOUN,O,O
,,PUNCT,O,O
,the,DET,O,O
,abortion,NOUN,B-crime,O
,has,AUX,O,O
,gone,VERB,O,O
,just,ADV,O,O
,a,DET,O,O
,little,ADJ,O,O
,bit,NOUN,O,O
,.,PUNCT,O,O
,deceptive,NOUN,B-crime,O
,practices,NOUN,I-crime,O
,and,CCONJ,O,O
,criminal,PROPN,B-crime,O
,damage,PROPN,I-crime,O
,had,AUX,O,O
,passed,VERB,O,O
,.,PUNCT,O,O
Sentence: 5105,can,VERB,O,O
,you,PRON,O,O
,draw,VERB,O,O
,this,DET,O,O
,chart,NOUN,O,O
,with,ADP,O,O
,a,DET,O,O
,book,NOUN,O,O
,that,DET,O,O
,show,VERB,O,O
,the,DET,O,O
,convicted,NOUN,B-crime,O
,felon,NOUN,I-crime,O
,from,ADP,O,O
,2010,NUM,B-year,O
,to,ADP,O,O
,2014,NUM,B-year,O
,for,ADP,O,O
,each,DET,O,O
,UIC,PROPN,B-neighborhood,O
,?,PUNCT,O,O
Sentence: 5106,Near,ADV,B-neighborhood,O
,West,ADV,I-neighborhood,O
,Side,ADV,I-neighborhood,O
,,PUNCT,O,O
,as,ADV,O,O
,far,ADV,O,O
,as,SCONJ,O,O
,the,DET,O,O
,airport,NOUN,B-location,O
,comes,VERB,O,O
,.,PUNCT,O,O
Sentence: 5107,so,ADV,O,O
,,PUNCT,O,O
,since,SCONJ,O,O
,the,DET,O,O
,baddoer,PROPN,B-crime,O
,have,AUX,O,O
,not,PART,O,O
,been,AUX,O,O
,highly,ADV,O,O
,able,ADJ,O,O
,to,PART,O,O
,show,VERB,O,O
,me,PRON,O,O
,what,PRON,O,O
,i,PRON,O,O
,think,VERB,O,O
,of,ADP,O,O
,how,ADV,O,O
,to,PART,O,O
,tell,VERB,O,O
,me,PRON,O,O
,what,DET,O,O
,year,NOUN,B-year,O
,most,ADJ,O,O
,resisting,ADJ,B-crime,O
,arrest,ADJ,I-crime,O
,have,AUX,O,O
,occurred,VERB,O,O
,?,PUNCT,O,O
Sentence: 5108,friday,PROPN,B-day,O
,and,CCONJ,O,O
,saturday,PROPN,B-day,O
,is,AUX,O,O
,in,ADP,O,O
,the,DET,O,O
,same,ADJ,O,O
,weekend,NOUN,O,O
,and,CCONJ,O,O
,next,ADJ,O,O
,five,NUM,O,O
,month,NOUN,B-month,O
,.,PUNCT,O,O
Sentence: 5109,for,ADP,O,O
,friday,PROPN,B-day,O
,and,CCONJ,O,O
,saturday,PROPN,B-day,O
,can,VERB,O,O
,you,PRON,O,O
,show,VERB,O,O
,day,NOUN,B-day,O
,of,NOUN,I-day,O
,the,NOUN,I-day,O
,day,NOUN,I-day,O
,the,NOUN,I-day,O
,year,NOUN,I-day,O
,he,NOUN,I-day,O
,is,NOUN,I-day,O
,ever,NOUN,I-day,O
,heard,NOUN,I-day,O
,of,NOUN,I-day,O
,illegal,NOUN,I-day,O
,offence,NOUN,I-day,O
,?,PUNCT,O,O
Sentence: 5110,is,AUX,O,O
,day,NOUN,B-day,O
,month,NOUN,I-day,O
,?,PUNCT,O,O
Sentence: 5111,it,PRON,O,O
,is,AUX,O,O
,okay,ADJ,O,O
,.,PUNCT,O,O
Sentence: 5112,so,ADV,O,O
,,PUNCT,O,O
,most,ADJ,O,O
,legal,ADP,B-crime,O
,crime,ADP,I-crime,O
,this,DET,O,O
,must,VERB,O,O
,be,AUX,O,O
,this,DET,O,O
,friday,PROPN,B-day,O
,and,CCONJ,O,O
,saturdays,PROPN,B-day,O
,,PUNCT,O,O
,and,CCONJ,O,O
,every,DET,O,O
,time,NOUN,B-time,O
,?,PUNCT,O,O
Sentence: 5113,so,ADV,O,O
,it,PRON,O,O
,seems,VERB,O,O
