Sentence #,Word,POS,NER_Tag,RefExp_Tag
,too,ADV,O,O
,dangerous,ADJ,O,O
,to,PART,O,O
,know,VERB,O,O
,.,PUNCT,O,O
Sentence: 8823,so,ADV,O,O
,to,PART,O,O
,look,VERB,O,O
,at,ADP,O,O
,place,NOUN,B-location,O
,of,NOUN,I-location,O
,worship,NOUN,I-location,O
,was,AUX,O,O
,worse,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,fall,NOUN,B-season,O
,,PUNCT,O,O
,so,CCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,look,VERB,O,O
,around,ADV,O,O
,parking,X,B-location,O
,lot,X,I-location,O
Sentence: 8824,it,PRON,O,O
,seems,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,starting,VERB,O,O
,with,ADP,O,O
,all,DET,O,O
,lawbreaking,NOUN,B-crime,O
,that,DET,O,O
,have,AUX,O,O
,more,ADJ,O,O
,legal,NUM,B-crime,O
,and,NUM,I-crime,O
,not,NUM,I-crime,O
,punishable,NUM,I-crime,O
,crime,NUM,I-crime,O
,,PUNCT,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,legal,NOUN,B-crime,O
,and,NOUN,I-crime,O
,not,NOUN,I-crime,O
,punishable,NOUN,I-crime,O
,crime,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 8825,i,PRON,O,O
,am,AUX,O,O
,betting,VERB,O,O
,on,ADP,O,O
,march,PROPN,B-month,O
,and,CCONJ,O,O
,november,PROPN,B-month,O
,for,ADP,O,O
,holidays,NOUN,O,O
,with,ADP,O,O
,alcohol,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8826,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,i,PRON,O,O
,wonder,VERB,O,O
,why,ADV,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,the,DET,O,O
,most,ADV,O,O
,common,ADJ,O,O
,areas,NOUN,O,O
,of,ADP,O,O
,liquor,NOUN,B-crime,O
,law,NOUN,I-crime,O
,in,ADP,O,O
,these,DET,O,O
,neck,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,the,NOUN,I-neighborhood,O
,wood,NOUN,I-neighborhood,O
,and,CCONJ,O,O
,many,ADJ,O,O
,people,NOUN,O,O
,have,AUX,O,O
,become,VERB,O,O
,worried,ADJ,O,O
,about,ADP,O,O
,public,ADJ,O,O
,small,NOUN,B-location,O
,retail,NOUN,I-location,O
,store,NOUN,I-location,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,also,ADV,O,O
,included,VERB,O,O
,a,DET,O,O
,private,PROPN,B-location,O
,house,PROPN,I-location,O
,?,PUNCT,O,O
Sentence: 8827,very,ADV,O,O
,well,ADV,O,O
,,PUNCT,O,O
,it,PRON,O,O
,is,AUX,O,O
,clear,ADJ,O,O
,that,SCONJ,O,O
,sidewalk,NOUN,B-location,O
,are,AUX,O,O
,most,ADV,O,O
,dangerous,ADJ,O,O
,porch,NOUN,B-location,O
,for,ADP,O,O
,liquor,PROPN,B-crime,O
,law,PROPN,I-crime,O
,violation,PROPN,I-crime,O
,,PUNCT,O,O
,or,CCONJ,O,O
,most,ADV,O,O
,frequent,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8828,looks,VERB,O,O
,like,SCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,,PUNCT,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,little,ADJ,O,O
,bit,NOUN,O,O
,,PUNCT,O,O
,even,ADV,O,O
,since,SCONJ,O,O
,i,PRON,O,O
,think,VERB,O,O
,.,PUNCT,O,O
Sentence: 8829,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,the,PROPN,B-year,O
,year,PROPN,I-year,O
,is,AUX,O,O
,that,SCONJ,O,O
,the,DET,O,O
,data,NOUN,O,O
,,PUNCT,O,O
,there,PRON,O,O
,are,AUX,O,O
,changes,NOUN,O,O
,in,ADP,O,O
,criminally,ADV,B-crime,O
,,PUNCT,O,O
,and,CCONJ,O,O
,the,DET,O,O
,illegal,PROPN,B-crime,O
,offence,PROPN,I-crime,O
,of,ADP,O,O
,the,DET,O,O
,crime,NOUN,B-crime,O
,scene,NOUN,I-crime,O
,i,PRON,O,O
,mean,VERB,O,O
,not,PART,O,O
,particularly,ADV,O,O
,about,ADP,O,O
,the,DET,O,O
,crime,NOUN,B-crime,O
,unit,NOUN,I-crime,O
,is,AUX,O,O
,usually,ADV,O,O
,going,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,a,DET,O,O
,robbery,NOUN,B-crime,O
,,PUNCT,O,O
,but,CCONJ,O,O
,we,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,even,ADV,O,O
,think,VERB,O,O
,about,ADP,O,O
,murder,NOUN,B-crime,O
,.,PUNCT,O,O
Sentence: 8830,criminal,NOUN,B-crime,O
,battery,NOUN,I-crime,O
,offense,NOUN,I-crime,O
,involving,VERB,O,O
,children,NOUN,B-unk,O
,infraction,NOUN,I-unk,O
,.,PUNCT,O,O
Sentence: 8831,in,ADP,O,O
,all,DET,O,O
,of,ADP,O,O
,the,DET,O,O
,gang,NOUN,B-crime,O
,activity,NOUN,I-crime,O
,,PUNCT,O,O
,even,ADV,O,O
,in,ADP,O,O
,all,DET,O,O
,of,ADP,O,O
,the,DET,O,O
,evil,PROPN,B-crime,O
,deed,PROPN,I-crime,O
,for,ADP,O,O
,all,DET,O,O
,the,DET,O,O
,lawbreaking,NOUN,B-crime,O
,,PUNCT,O,O
,there,PRON,O,O
,are,AUX,O,O
,two,NUM,O,O
,in,ADP,O,O
,these,DET,O,O
,neighborhoods,NOUN,B-neighborhood,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,see,VERB,O,O
,how,ADV,O,O
,they,PRON,O,O
,could,VERB,O,O
,be,AUX,O,O
,upwards,ADV,O,O
,and,CCONJ,O,O
,down,ADV,O,O
,a,DET,O,O
,little,ADJ,O,O
,bit,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8832,but,CCONJ,O,O
,everything,PRON,O,O
,seems,VERB,O,O
,amazing,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8833,so,ADV,O,O
,next,ADJ,O,O
,question,NOUN,O,O
,is,AUX,O,O
,when,ADV,O,O
,you,PRON,O,O
,take,VERB,O,O
,the,DET,O,O
,puppy,NOUN,O,O
,,PUNCT,O,O
,there,PRON,O,O
,is,AUX,O,O
,no,DET,O,O
,criminal,NOUN,B-crime,O
,battery,NOUN,I-crime,O
,on,ADP,O,O
,your,DET,O,O
,opinions,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8834,there,PRON,O,O
,were,AUX,O,O
,only,ADV,O,O
,two,NUM,O,O
,good,ADJ,O,O
,-,PUNCT,O,O
,i,PRON,O,O
,think,VERB,O,O
,betting,VERB,O,O
,on,ADP,O,O
,the,DET,O,O
,apartment,NOUN,B-location,O
,,PUNCT,O,O
,but,CCONJ,O,O
,other,ADJ,O,O
,illegal,PROPN,B-crime,O
,criminal,PROPN,I-crime,O
,on,ADP,O,O
,the,DET,O,O
,cta,PROPN,B-location,O
,platform,PROPN,I-location,O
,are,AUX,O,O
,what,PRON,O,O
,i,PRON,O,O
,expect,VERB,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,there,PRON,O,O
,are,AUX,O,O
,not,PART,O,O
,many,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8835,shortly,ADV,O,O
,near,SCONJ,O,O
,University,PROPN,B-neighborhood,O
,of,PROPN,I-neighborhood,O
,Illinois,PROPN,I-neighborhood,O
,at,PROPN,I-neighborhood,O
,Chicago,PROPN,I-neighborhood,O
,or,CCONJ,O,O
,us,PRON,O,O
,already,ADV,O,O
,answered,VERB,O,O
,this,DET,O,O
,question,NOUN,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,how,ADV,O,O
,do,AUX,O,O
,i,PRON,O,O
,know,VERB,O,O
,which,DET,O,O
,is,AUX,O,O
,what,PRON,O,O
,is,AUX,O,O
,most,ADV,O,O
,dangerous,ADJ,O,O
,thing,NOUN,O,O
,and,CCONJ,O,O
,airport,NOUN,B-location,O
,at,ADP,O,O
,University,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,Illinois,NOUN,I-neighborhood,O
,at,NOUN,I-neighborhood,O
,Chicago,NOUN,I-neighborhood,O
,in,ADP,O,O
,the,DET,O,O
,uic,NOUN,B-neighborhood,O
,area,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 8836,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,looks,VERB,O,O
,like,SCONJ,O,O
,walking,VERB,O,O
,out,ADV,O,O
,there,PRON,O,O
,is,AUX,O,O
,the,DET,O,O
,deadliest,ADJ,O,O
,of,ADP,O,O
,the,DET,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 8837,such,ADJ,O,O
,southern,ADJ,O,O
,western,ADJ,O,O
,and,CCONJ,O,O
,western,ADJ,O,O
,bel,PROPN,O,O
,next,PROPN,O,O
,west,PROPN,O,O
,and,CCONJ,O,O
,on,ADP,O,O
,the,DET,O,O
,outskirts,NOUN,O,O
,of,ADP,O,O
,look,NOUN,B-location,O
,up,NOUN,I-location,O
,facility,NOUN,I-location,O
,.,PUNCT,O,O
Sentence: 8838,what,PRON,O,O
,legal,PRON,B-crime,O
,offender,PRON,I-crime,O
,are,AUX,O,O
,happening,VERB,O,O
,so,ADV,O,O
,i,PRON,O,O
,am,AUX,O,O
,looking,VERB,O,O
,at,ADP,O,O
,this,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,VERB,B-unk,O
,show,VERB,I-unk,O
,,PUNCT,O,O
,and,CCONJ,O,O
,i,PRON,O,O
,wonder,VERB,O,O
,the,DET,O,O
,railway,PROPN,B-location,O
,platform,PROPN,I-location,O
,and,CCONJ,O,O
,residential,ADJ,B-location,O
,,PUNCT,O,O
,what,DET,O,O
,kind,NOUN,B-crime,O
,of,NOUN,I-crime,O
,crimes,NOUN,I-crime,O
,are,AUX,O,O
,happening,VERB,O,O
,in,ADP,O,O
,memphis,PROPN,O,O
,?,PUNCT,O,O
Sentence: 8839,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,start,VERB,O,O
,the,DET,O,O
,fact,NOUN,O,O
,that,SCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,see,VERB,O,O
,the,DET,O,O
,major,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,on,ADP,O,O
,the,DET,O,O
,elevated,NUM,B-location,O
,train,NUM,I-location,O
,and,CCONJ,O,O
,convenience,NUM,B-location,O
,store,NUM,I-location,O
,but,CCONJ,O,O
,although,SCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,sure,ADJ,O,O
,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,certain,ADJ,O,O
,law,NOUN,B-unk,O
,definition,NOUN,I-unk,O
,of,ADP,O,O
,those,DET,O,O
,things,NOUN,O,O
,,PUNCT,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,necessarily,ADV,O,O
,provide,VERB,O,O
,distinction,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8840,there,PRON,O,O
,are,AUX,O,O
,plenty,NOUN,O,O
,of,ADP,O,O
,different,ADJ,O,O
,things,NOUN,O,O
,from,ADP,O,O
,the,DET,O,O
,non,PROPN,B-location,O
,residential,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 8841,and,CCONJ,O,O
,then,ADV,O,O
,i,PRON,O,O
,see,VERB,O,O
,this,DET,O,O
,figure,NOUN,O,O
,not,PART,O,O
,perfect,ADJ,O,O
,at,ADP,O,O
,10,NUM,O,O
,-,SYM,O,O
,2,NUM,O,O
,,PUNCT,O,O
,although,SCONJ,O,O
,i,PRON,O,O
,see,VERB,O,O
,it,PRON,O,O
,is,AUX,O,O
,divided,VERB,O,O
,into,ADP,O,O
,cta,PROPN,B-location,O
,platform,PROPN,I-location,O
,and,CCONJ,O,O
,hallway,NOUN,B-location,O
,and,CCONJ,O,O
,kind,ADV,O,O
,of,ADV,O,O
,breaking,NOUN,B-crime,O
,law,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 8842,is,AUX,O,O
,it,PRON,O,O
,a,DET,O,O
,map,NOUN,O,O
,?,PUNCT,O,O
Sentence: 8843,so,ADV,O,O
,much,ADV,O,O
,more,ADV,O,O
,much,ADJ,O,O
,abortion,NOUN,B-crime,O
,.,PUNCT,O,O
Sentence: 8844,ok,INTJ,O,O
,,PUNCT,O,O
,continue,VERB,O,O
,to,PART,O,O
,let,VERB,O,O
,us,PRON,O,O
,decide,VERB,O,O
,the,DET,O,O
,most,ADV,O,O
,common,ADJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,think,VERB,O,O
,we,PRON,O,O
,will,VERB,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 8845,do,AUX,O,O
,you,PRON,O,O
,think,VERB,O,O
,most,ADJ,O,O
,month,NOUN,B-month,O
,of,ADP,O,O
,week,NOUN,O,O
,do,AUX,O,O
,work,NOUN,O,O
,in,ADP,O,O
,weeks,NOUN,O,O
,or,CCONJ,O,O
,month,NOUN,B-month,O
,in,ADP,O,O
,weeks,NOUN,O,O
,,PUNCT,O,O
,in,ADP,O,O
,weekend,NOUN,O,O
,you,PRON,O,O
,know,VERB,O,O
,weekends,NOUN,O,O
,,PUNCT,O,O
,and,CCONJ,O,O
,what,PRON,O,O
,these,DET,O,O
,illegal,PROPN,B-crime,O
,action,PROPN,I-crime,O
,are,AUX,O,O
,even,ADV,O,O
,better,ADJ,O,O
,?,PUNCT,O,O
Sentence: 8846,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,it,PRON,O,O
,seems,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,that,SCONJ,O,O
,the,DET,O,O
,felon,NOUN,B-crime,O
,is,AUX,O,O
,a,DET,O,O
,small,ADJ,O,O
,hoodlum,NOUN,B-crime,O
,,PUNCT,O,O
,and,CCONJ,O,O
,a,DET,O,O
,slight,ADJ,O,O
,increase,NOUN,O,O
,in,ADP,O,O
,the,DET,O,O
,middle,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,race,NOUN,O,O
,is,AUX,O,O
,better,ADJ,O,O
,in,ADP,O,O
,driving,PROPN,B-crime,O
,under,PROPN,I-crime,O
,the,PROPN,I-crime,O
,influence,PROPN,I-crime,O
,to,PART,O,O
,steal,VERB,O,O
,things,NOUN,O,O
,on,ADP,O,O
,friday,PROPN,B-day,O
,.,PUNCT,O,O
Sentence: 8847,so,ADV,O,O
,friday,NOUN,B-day,O
,night,NOUN,I-day,O
,,PUNCT,O,O
,a,DET,O,O
,little,ADJ,O,O
,criminal,PROPN,B-crime,O
,activity,PROPN,I-crime,O
,in,ADP,O,O
,commercial,NUM,B-location,O
,property,NUM,I-location,O
,.,PUNCT,O,O
Sentence: 8848,what,DET,O,O
,types,NOUN,O,O
,of,ADP,O,O
,assault,NOUN,B-crime,O
,or,CCONJ,O,O
,felony,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,are,AUX,O,O
,being,AUX,O,O
,known,VERB,O,O
,everywhere,ADV,O,O
,like,SCONJ,O,O
,business,NOUN,O,O
,such,ADJ,O,O
,business,NOUN,O,O
,as,SCONJ,O,O
,small,ADJ,O,O
,jail,NOUN,B-location,O
,or,CCONJ,O,O
,shops,NOUN,O,O
,,PUNCT,O,O
,and,CCONJ,O,O
,at,ADP,O,O
,the,DET,O,O
,stations,NOUN,O,O
,of,ADP,O,O
,gas,NOUN,B-location,O
,stations,NOUN,I-location,O
,.,PUNCT,O,O
Sentence: 8849,i,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,if,SCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,gang,NOUN,B-crime,O
,activity,NOUN,I-crime,O
,from,ADP,O,O
,stealing,VERB,O,O
,the,DET,O,O
,most,ADV,O,O
,criminal,ADJ,B-crime,O
,.,PUNCT,O,O
Sentence: 8850,but,CCONJ,O,O
,i,PRON,O,O
,can,VERB,O,O
,clearly,ADV,O,O
,see,VERB,O,O
,different,ADJ,O,O
,vacant,NOUN,B-location,O
,land,NOUN,I-location,O
,of,ADP,O,O
,business,NOUN,O,O
,and,CCONJ,O,O
,illegal,NUM,B-crime,O
,action,NUM,I-crime,O
,numbers,NOUN,O,O
,and,CCONJ,O,O
,hoodlum,NOUN,B-crime,O
,are,AUX,O,O
,highly,ADV,O,O
,interesting,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8851,if,SCONJ,O,O
,i,PRON,O,O
,wanted,VERB,O,O
,to,PART,O,O
,go,VERB,O,O
,back,ADV,O,O
,,PUNCT,O,O
,we,PRON,O,O
,looked,VERB,O,O
,at,ADP,O,O
,different,ADJ,O,O
,baddoer,NOUN,B-crime,O
,by,ADP,O,O
,the,DET,O,O
,time,NOUN,B-time,O
,of,ADP,O,O
,the,DET,O,O
,week,NOUN,O,O
,,PUNCT,O,O
,i,PRON,O,O
,wonder,VERB,O,O
,why,ADV,O,O
,this,DET,O,O
,quarter,NOUN,B-neighborhood,O
,is,AUX,O,O
,different,ADJ,O,O
,.,PUNCT,O,O
Sentence: 8852,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,all,DET,O,O
,the,DET,O,O
,breaking,PROPN,B-crime,O
,the,PROPN,I-crime,O
,law,PROPN,I-crime,O
,in,ADP,O,O
,different,ADJ,O,O
,neighborhood,NOUN,B-neighborhood,O
,differ,VERB,O,O
,from,ADP,O,O
,the,DET,O,O
,week,NOUN,O,O
,,PUNCT,O,O
,so,CCONJ,O,O
,it,PRON,O,O
,seems,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,like,SCONJ,O,O
,UUNNKK,NOUN,B-unk,O
,north,NOUN,I-unk,O
,,PUNCT,O,O
,and,CCONJ,O,O
,there,PRON,O,O
,is,AUX,O,O
,different,ADJ,O,O
,differences,NOUN,O,O
,between,ADP,O,O
,the,DET,O,O
,surrounding,VERB,O,O
,neighbouring,NOUN,B-neighborhood,O
,.,PUNCT,O,O
